Bitstring,Cost
"(0, 1, 0, 0, 1, 1, 0, 1, 1)",7729.0
"(0, 1, 1, 0, 0, 1, 0, 0, 0)",7731.0
"(1, 0, 0, 0, 1, 0, 1, 1, 0)",7739.0
"(1, 0, 0, 0, 1, 0, 0, 0, 1)",7739.0
"(1, 0, 1, 0, 0, 0, 0, 1, 1)",7741.0
"(1, 1, 0, 0, 0, 1, 1, 1, 1)",7743.0
"(0, 0, 0, 1, 0, 0, 1, 0, 0)",7745.0
"(0, 0, 0, 0, 1, 0, 1, 1, 1)",7758.0
"(0, 0, 1, 0, 0, 0, 1, 0, 0)",7760.0
"(0, 1, 0, 0, 0, 1, 0, 1, 0)",7762.0
"(1, 0, 0, 0, 0, 0, 0, 0, 0)",7772.0
"(0, 0, 0, 0, 0, 0, 1, 1, 0)",7791.0
"(0, 0, 0, 0, 0, 0, 0, 0, 1)",7791.0
"(0, 1, 1, 1, 1, 0, 0, 1, 0)",10037.0
"(1, 1, 0, 1, 1, 0, 1, 0, 0)",10049.0
"(1, 1, 1, 1, 0, 0, 1, 1, 0)",10051.0
"(1, 1, 1, 1, 0, 0, 0, 0, 1)",10051.0
"(1, 1, 1, 0, 1, 0, 1, 0, 0)",10064.0
"(0, 0, 1, 1, 1, 1, 0, 1, 0)",10066.0
"(0, 1, 0, 1, 1, 0, 1, 0, 1)",10068.0
"(0, 1, 1, 1, 0, 0, 1, 1, 1)",10070.0
"(1, 0, 0, 1, 1, 1, 1, 0, 0)",10078.0
"(1, 0, 1, 1, 0, 1, 1, 1, 0)",10080.0
"(1, 0, 1, 1, 0, 1, 0, 0, 1)",10080.0
"(1, 1, 0, 1, 0, 0, 0, 1, 1)",10082.0
"(0, 1, 1, 0, 1, 0, 1, 0, 1)",10083.0
"(1, 0, 1, 0, 1, 1, 1, 0, 0)",10093.0
"(1, 1, 0, 0, 1, 0, 0, 0, 1)",10095.0
"(1, 1, 0, 0, 1, 0, 1, 1, 0)",10095.0
"(0, 0, 0, 1, 1, 1, 1, 0, 1)",10097.0
"(1, 1, 1, 0, 0, 0, 0, 1, 1)",10097.0
"(0, 0, 1, 1, 0, 1, 1, 1, 1)",10099.0
"(0, 1, 0, 1, 0, 0, 0, 0, 0)",10101.0
"(1, 0, 0, 1, 0, 1, 0, 1, 1)",10111.0
"(0, 0, 1, 0, 1, 1, 1, 0, 1)",10112.0
"(0, 1, 0, 0, 1, 0, 1, 1, 1)",10114.0
"(0, 1, 1, 0, 0, 0, 0, 0, 0)",10116.0
"(1, 0, 0, 0, 1, 1, 0, 0, 1)",10124.0
"(1, 0, 0, 0, 1, 1, 1, 1, 0)",10124.0
"(1, 0, 1, 0, 0, 1, 0, 1, 1)",10126.0
"(0, 0, 0, 1, 0, 1, 0, 0, 0)",10130.0
"(0, 0, 0, 0, 1, 1, 1, 1, 1)",10143.0
"(0, 0, 1, 0, 0, 1, 0, 0, 0)",10145.0
"(0, 1, 0, 0, 0, 0, 0, 1, 0)",10147.0
"(0, 0, 0, 0, 0, 1, 0, 1, 0)",10176.0
"(0, 1, 1, 1, 1, 1, 0, 1, 0)",12740.0
"(1, 0, 1, 1, 1, 0, 0, 0, 0)",12750.0
"(1, 1, 0, 1, 1, 1, 1, 0, 0)",12752.0
"(1, 1, 1, 1, 0, 1, 0, 0, 1)",12754.0
"(1, 1, 1, 1, 0, 1, 1, 1, 0)",12754.0
"(1, 1, 1, 0, 1, 1, 1, 0, 0)",12767.0
"(0, 0, 1, 1, 1, 0, 1, 1, 0)",12769.0
"(0, 0, 1, 1, 1, 0, 0, 0, 1)",12769.0
"(0, 1, 0, 1, 1, 1, 1, 0, 1)",12771.0
"(0, 1, 1, 1, 0, 1, 1, 1, 1)",12773.0
"(1, 0, 0, 1, 1, 0, 0, 1, 0)",12781.0
"(1, 0, 1, 1, 0, 0, 1, 0, 1)",12783.0
"(1, 1, 0, 1, 0, 1, 0, 1, 1)",12785.0
"(0, 1, 1, 0, 1, 1, 1, 0, 1)",12786.0
"(1, 0, 1, 0, 1, 0, 0, 1, 0)",12796.0
"(1, 1, 0, 0, 1, 1, 0, 0, 1)",12798.0
"(1, 1, 0, 0, 1, 1, 1, 1, 0)",12798.0
"(0, 0, 0, 1, 1, 0, 0, 1, 1)",12800.0
"(1, 1, 1, 0, 0, 1, 0, 1, 1)",12800.0
"(1, 0, 0, 1, 0, 0, 1, 1, 1)",12814.0
"(0, 0, 1, 0, 1, 0, 0, 1, 1)",12815.0
"(0, 1, 0, 0, 1, 1, 1, 1, 1)",12817.0
"(1, 0, 0, 0, 1, 0, 1, 0, 1)",12827.0
"(1, 0, 1, 0, 0, 0, 1, 1, 1)",12829.0
"(0, 0, 0, 1, 0, 0, 0, 0, 0)",12833.0
"(0, 0, 1, 0, 0, 0, 0, 0, 0)",12848.0
"(0, 1, 0, 0, 0, 1, 1, 0, 0)",12850.0
"(0, 0, 0, 0, 0, 0, 0, 1, 0)",12879.0
"(1, 1, 1, 1, 1, 0, 0, 0, 0)",15742.0
"(0, 1, 1, 1, 1, 0, 0, 0, 1)",15761.0
"(0, 1, 1, 1, 1, 0, 1, 1, 0)",15761.0
"(1, 0, 1, 1, 1, 1, 0, 0, 0)",15771.0
"(1, 1, 0, 1, 1, 0, 0, 1, 0)",15773.0
"(1, 1, 1, 1, 0, 0, 1, 0, 1)",15775.0
"(1, 1, 1, 0, 1, 0, 0, 1, 0)",15788.0
"(0, 0, 1, 1, 1, 1, 1, 1, 0)",15790.0
"(0, 0, 1, 1, 1, 1, 0, 0, 1)",15790.0
"(0, 1, 0, 1, 1, 0, 0, 1, 1)",15792.0
"(1, 0, 0, 1, 1, 1, 0, 1, 0)",15802.0
"(1, 0, 1, 1, 0, 1, 1, 0, 1)",15804.0
"(1, 1, 0, 1, 0, 0, 1, 1, 1)",15806.0
"(0, 1, 1, 0, 1, 0, 0, 1, 1)",15807.0
"(1, 0, 1, 0, 1, 1, 0, 1, 0)",15817.0
"(1, 1, 0, 0, 1, 0, 1, 0, 1)",15819.0
"(1, 1, 1, 0, 0, 0, 1, 1, 1)",15821.0
"(0, 0, 0, 1, 1, 1, 0, 1, 1)",15821.0
"(1, 0, 0, 1, 0, 1, 1, 1, 1)",15835.0
"(0, 0, 1, 0, 1, 1, 0, 1, 1)",15836.0
"(1, 0, 0, 0, 1, 1, 1, 0, 1)",15848.0
"(1, 0, 1, 0, 0, 1, 1, 1, 1)",15850.0
"(0, 1, 0, 0, 0, 0, 1, 0, 0)",15871.0
"(0, 0, 0, 0, 0, 1, 1, 0, 0)",15900.0
"(1, 1, 1, 1, 1, 1, 0, 0, 0)",19081.0
"(0, 1, 1, 1, 1, 1, 1, 1, 0)",19100.0
"(0, 1, 1, 1, 1, 1, 0, 0, 1)",19100.0
"(1, 0, 1, 1, 1, 0, 1, 0, 0)",19110.0
"(1, 1, 0, 1, 1, 1, 0, 1, 0)",19112.0
"(1, 1, 1, 1, 0, 1, 1, 0, 1)",19114.0
"(1, 1, 1, 0, 1, 1, 0, 1, 0)",19127.0
"(0, 0, 1, 1, 1, 0, 1, 0, 1)",19129.0
"(0, 1, 0, 1, 1, 1, 0, 1, 1)",19131.0
"(1, 0, 0, 1, 1, 0, 1, 1, 0)",19141.0
"(1, 0, 0, 1, 1, 0, 0, 0, 1)",19141.0
"(1, 0, 1, 1, 0, 0, 0, 1, 1)",19143.0
"(1, 1, 0, 1, 0, 1, 1, 1, 1)",19145.0
"(0, 1, 1, 0, 1, 1, 0, 1, 1)",19146.0
"(1, 0, 1, 0, 1, 0, 0, 0, 1)",19156.0
"(1, 0, 1, 0, 1, 0, 1, 1, 0)",19156.0
"(1, 1, 0, 0, 1, 1, 1, 0, 1)",19158.0
"(1, 1, 1, 0, 0, 1, 1, 1, 1)",19160.0
"(0, 0, 0, 1, 1, 0, 1, 1, 1)",19160.0
"(0, 0, 1, 0, 1, 0, 1, 1, 1)",19175.0
